cust_id,first_name,last_name,email
0832cc627,Marisa,Harding,Marisa.Harding@gmail.com
9a41cb109,Michael,Cochran,Michael.Cochran@yahoo.com
7017f4028,Peter,Hutchinson,Peter.Hutchinson@gmail.com
29fef5071,Bethany,Munoz,Bethany.Munoz@yahoo.com
8dec84730,Barbara,Rowe,Barbara.Rowe@yahoo.com
85ae05019,James,Norris,James.Norris@yahoo.com
3ef415689,Albert,Davis,Albert.Davis@yahoo.com
c4ee00447,Anthony,Smith,Anthony.Smith@yahoo.com
d9c706719,John,Moody,John.Moody@gmail.com
64ede3038,Anna,Scott,Anna.Scott@yahoo.com
a15987045,Emily,Rodriguez,Emily.Rodriguez@gmail.com
b9ef25764,Timothy,Cook,Timothy.Cook@yahoo.com
39deff636,Tiffany,Hines,Tiffany.Hines@hotmail.com
b836e5613,Amanda,Bolton,Amanda.Bolton@hotmail.com
2122d3027,Debra,Dyer,Debra.Dyer@yahoo.com
0a6229518,Christina,Stout,Christina.Stout@hotmail.com
d48dec725,Patrick,Morales,Patrick.Morales@yahoo.com
1a99c3138,William,Clark,William.Clark@yahoo.com
e72faf973,Scott,Schroeder,Scott.Schroeder@gmail.com
14e333903,Timothy,Gardner,Timothy.Gardner@hotmail.com
012ea6747,Brendan,Williams,Brendan.Williams@gmail.com
6c4e9d688,Jonathan,Wilcox,Jonathan.Wilcox@gmail.com
7e74ab738,Glenn,Newton,Glenn.Newton@hotmail.com
64c7fb181,Jesse,French,Jesse.French@gmail.com
daeda9663,Matthew,Bradley,Matthew.Bradley@yahoo.com
c716f3550,Michael,Suarez,Michael.Suarez@yahoo.com
c7240b533,Janice,Obrien,Janice.Obrien@hotmail.com
6148ec214,Erin,Mitchell,Erin.Mitchell@yahoo.com
65c1fa860,Emily,Henry,Emily.Henry@gmail.com
d092fd201,Justin,Guzman,Justin.Guzman@gmail.com
1c33ba458,Michelle,Jones,Michelle.Jones@gmail.com
e8a97d484,Christina,Aguirre,Christina.Aguirre@gmail.com
9b08db908,Kimberly,Cook,Kimberly.Cook@yahoo.com
731168983,Carrie,Lopez,Carrie.Lopez@yahoo.com
5cd7e2352,Melody,Wagner,Melody.Wagner@yahoo.com
fd8a82532,Steven,Barr,Steven.Barr@yahoo.com
365348921,Andrew,Nelson,Andrew.Nelson@hotmail.com
2da098705,Randy,Jackson,Randy.Jackson@gmail.com
e27d0a579,Lisa,Steele,Lisa.Steele@hotmail.com
f55d05926,Scott,Rice,Scott.Rice@yahoo.com
e6e048595,Tina,Robertson,Tina.Robertson@yahoo.com
0f798b846,Kristina,Sanders,Kristina.Sanders@yahoo.com
dc7838443,Emily,Crawford,Emily.Crawford@gmail.com
ca57b0788,Joshua,Jones,Joshua.Jones@gmail.com
6d1125091,Brooke,Welch,Brooke.Welch@yahoo.com
ebb222418,Michele,Wright,Michele.Wright@yahoo.com
fc1f95091,Marilyn,King,Marilyn.King@gmail.com
1bbaa5574,Amanda,Myers,Amanda.Myers@hotmail.com
08a186972,Stephen,Lee,Stephen.Lee@gmail.com
eb21bd667,Jesus,Brown,Jesus.Brown@hotmail.com
bd8d52626,Glenda,Nelson,Glenda.Nelson@yahoo.com
b03a6d092,Steven,Summers,Steven.Summers@yahoo.com
71085d597,Meghan,Jackson,Meghan.Jackson@hotmail.com
b58414671,Jamie,Gonzalez,Jamie.Gonzalez@hotmail.com
332440065,Shawna,Smith,Shawna.Smith@hotmail.com
c100c6522,Michael,Diaz,Michael.Diaz@gmail.com
d391d8529,Allison,White,Allison.White@hotmail.com
6e1a53441,Anthony,Simmons,Anthony.Simmons@gmail.com
6cc786507,Jeffrey,Dodson,Jeffrey.Dodson@hotmail.com
b33c04607,John,Pearson,John.Pearson@hotmail.com
ee9c2c038,Kristy,Cunningham,Kristy.Cunningham@hotmail.com
8f18ce995,Taylor,Black,Taylor.Black@gmail.com
6ad902777,Susan,Huerta,Susan.Huerta@gmail.com
52067c828,Robert,Schroeder,Robert.Schroeder@hotmail.com
e4331f454,Andrew,Fletcher,Andrew.Fletcher@gmail.com
66b72c647,Lori,Shepherd,Lori.Shepherd@gmail.com
936a96424,Tony,Lloyd,Tony.Lloyd@gmail.com
e62c3a073,Susan,Horton,Susan.Horton@hotmail.com
ffe374425,Sara,Andrews,Sara.Andrews@yahoo.com
87e411959,Jeffrey,Howard,Jeffrey.Howard@gmail.com
e648b8515,Marilyn,Watson,Marilyn.Watson@gmail.com
080725429,James,James,James.James@gmail.com
ac1669401,Christine,Wilkinson,Christine.Wilkinson@hotmail.com
7ba300273,Amber,Williams,Amber.Williams@hotmail.com
9be54b210,Nicole,Evans,Nicole.Evans@gmail.com
8f0973609,Rachel,Pace,Rachel.Pace@gmail.com
468afb806,Logan,Higgins,Logan.Higgins@hotmail.com
2af12a720,Tiffany,Bailey,Tiffany.Bailey@yahoo.com
c227fd397,David,Walker,David.Walker@gmail.com
d20936922,Elijah,Rodriguez,Elijah.Rodriguez@gmail.com
0f84b0213,Rebecca,Adams,Rebecca.Adams@hotmail.com
04227b772,Mitchell,Johnson,Mitchell.Johnson@gmail.com
c7d4c6016,Amanda,Edwards,Amanda.Edwards@yahoo.com
fb51a5077,Lauren,Fuentes,Lauren.Fuentes@hotmail.com
df1293707,Kelly,Hernandez,Kelly.Hernandez@hotmail.com
51ffec836,Joshua,Guerrero,Joshua.Guerrero@hotmail.com
8ba4fb114,Alison,Becker,Alison.Becker@gmail.com
fa4e02104,James,Moore,James.Moore@yahoo.com
c91c15993,Michael,Cruz,Michael.Cruz@hotmail.com
aad337226,Christopher,Payne,Christopher.Payne@gmail.com
7f5f8c990,Tony,Glass,Tony.Glass@hotmail.com
1d5442270,Thomas,Klein,Thomas.Klein@yahoo.com
0cfed9317,Colin,White,Colin.White@gmail.com
fa5b5b181,Tamara,Moore,Tamara.Moore@yahoo.com
80be58000,Alice,Hubbard,Alice.Hubbard@yahoo.com
5b9529168,Darrell,Murray,Darrell.Murray@hotmail.com
caf238042,Amy,Sanchez,Amy.Sanchez@yahoo.com
9e8927586,Timothy,Smith,Timothy.Smith@yahoo.com
4c0891111,Kevin,Russell,Kevin.Russell@yahoo.com
